Fecha,Hora,Variable,Valor,Unidad,Lugar
42736,0,Velocidad del viento,8.43,m/s,Punta Betin
42736,1,Velocidad del viento,8.78,m/s,Punta Betin
42736,2,Velocidad del viento,11,m/s,Punta Betin
42736,3,Velocidad del viento,12.3,m/s,Punta Betin
42736,4,Velocidad del viento,10.47,m/s,Punta Betin
42736,5,Velocidad del viento,11.85,m/s,Punta Betin
42736,6,Velocidad del viento,12.22,m/s,Punta Betin
42736,7,Velocidad del viento,11.65,m/s,Punta Betin
42736,8,Velocidad del viento,11.35,m/s,Punta Betin
42736,9,Velocidad del viento,10.72,m/s,Punta Betin
42736,10,Velocidad del viento,10.55,m/s,Punta Betin
42736,11,Velocidad del viento,8.62,m/s,Punta Betin
42736,12,Velocidad del viento,8.13,m/s,Punta Betin
42736,13,Velocidad del viento,9.18,m/s,Punta Betin
42736,14,Velocidad del viento,8.35,m/s,Punta Betin
42736,15,Velocidad del viento,9.6,m/s,Punta Betin
42736,16,Velocidad del viento,10.38,m/s,Punta Betin
42736,17,Velocidad del viento,9.35,m/s,Punta Betin
42736,18,Velocidad del viento,8.18,m/s,Punta Betin
42736,19,Velocidad del viento,6.98,m/s,Punta Betin
42736,20,Velocidad del viento,9.9,m/s,Punta Betin
42736,21,Velocidad del viento,12.08,m/s,Punta Betin
42736,22,Velocidad del viento,11.08,m/s,Punta Betin
42736,23,Velocidad del viento,10.73,m/s,Punta Betin
42737,0,Velocidad del viento,12.1,m/s,Punta Betin
42737,1,Velocidad del viento,10.55,m/s,Punta Betin
42737,2,Velocidad del viento,9.4,m/s,Punta Betin
42737,3,Velocidad del viento,8.3,m/s,Punta Betin
42737,4,Velocidad del viento,8.72,m/s,Punta Betin
42737,5,Velocidad del viento,6.93,m/s,Punta Betin
42737,6,Velocidad del viento,4.82,m/s,Punta Betin
42737,7,Velocidad del viento,7.6,m/s,Punta Betin
42737,8,Velocidad del viento,7.72,m/s,Punta Betin
42737,9,Velocidad del viento,9.02,m/s,Punta Betin
42737,10,Velocidad del viento,9.2,m/s,Punta Betin
42737,11,Velocidad del viento,9.27,m/s,Punta Betin
42737,12,Velocidad del viento,9.6,m/s,Punta Betin
42737,13,Velocidad del viento,8,m/s,Punta Betin
42737,14,Velocidad del viento,7.07,m/s,Punta Betin
42737,15,Velocidad del viento,8.25,m/s,Punta Betin
42737,16,Velocidad del viento,11.55,m/s,Punta Betin
42737,17,Velocidad del viento,12.03,m/s,Punta Betin
42737,18,Velocidad del viento,11.02,m/s,Punta Betin
42737,19,Velocidad del viento,10.58,m/s,Punta Betin
42737,20,Velocidad del viento,8.8,m/s,Punta Betin
42737,21,Velocidad del viento,6.1,m/s,Punta Betin
42737,22,Velocidad del viento,7.3,m/s,Punta Betin
42737,23,Velocidad del viento,6.98,m/s,Punta Betin
42738,0,Velocidad del viento,8.37,m/s,Punta Betin
42738,1,Velocidad del viento,9.47,m/s,Punta Betin
42738,2,Velocidad del viento,3.92,m/s,Punta Betin
42738,3,Velocidad del viento,3.25,m/s,Punta Betin
42738,4,Velocidad del viento,2.17,m/s,Punta Betin
42738,5,Velocidad del viento,1.82,m/s,Punta Betin
42738,6,Velocidad del viento,2.55,m/s,Punta Betin
42738,7,Velocidad del viento,2.9,m/s,Punta Betin
42738,8,Velocidad del viento,2.43,m/s,Punta Betin
42738,9,Velocidad del viento,3.12,m/s,Punta Betin
42738,10,Velocidad del viento,4.12,m/s,Punta Betin
42738,11,Velocidad del viento,6.28,m/s,Punta Betin
42738,12,Velocidad del viento,7.72,m/s,Punta Betin
42738,13,Velocidad del viento,7.52,m/s,Punta Betin
42738,14,Velocidad del viento,5.88,m/s,Punta Betin
42738,15,Velocidad del viento,4.6,m/s,Punta Betin
42738,16,Velocidad del viento,4.47,m/s,Punta Betin
42738,17,Velocidad del viento,3.62,m/s,Punta Betin
42738,18,Velocidad del viento,4.1,m/s,Punta Betin
42738,19,Velocidad del viento,6.2,m/s,Punta Betin
42738,20,Velocidad del viento,4.43,m/s,Punta Betin
42738,21,Velocidad del viento,3.75,m/s,Punta Betin
42738,22,Velocidad del viento,4.35,m/s,Punta Betin
42738,23,Velocidad del viento,4.5,m/s,Punta Betin
42739,0,Velocidad del viento,4.07,m/s,Punta Betin
42739,1,Velocidad del viento,2.37,m/s,Punta Betin
42739,2,Velocidad del viento,2.15,m/s,Punta Betin
42739,3,Velocidad del viento,2.02,m/s,Punta Betin
42739,4,Velocidad del viento,3.23,m/s,Punta Betin
42739,5,Velocidad del viento,3.57,m/s,Punta Betin
42739,6,Velocidad del viento,3.85,m/s,Punta Betin
42739,7,Velocidad del viento,3.1,m/s,Punta Betin
42739,8,Velocidad del viento,1.58,m/s,Punta Betin
42739,9,Velocidad del viento,1.42,m/s,Punta Betin
42739,10,Velocidad del viento,2.65,m/s,Punta Betin
42739,11,Velocidad del viento,5.45,m/s,Punta Betin
42739,12,Velocidad del viento,7.2,m/s,Punta Betin
42739,13,Velocidad del viento,7.13,m/s,Punta Betin
42739,14,Velocidad del viento,7.33,m/s,Punta Betin
42739,15,Velocidad del viento,7.55,m/s,Punta Betin
42739,16,Velocidad del viento,5.78,m/s,Punta Betin
42739,17,Velocidad del viento,4.58,m/s,Punta Betin
42739,18,Velocidad del viento,4,m/s,Punta Betin
42739,19,Velocidad del viento,3.45,m/s,Punta Betin
42739,20,Velocidad del viento,3.88,m/s,Punta Betin
42739,21,Velocidad del viento,4.37,m/s,Punta Betin
42739,22,Velocidad del viento,2.32,m/s,Punta Betin
42739,23,Velocidad del viento,1.52,m/s,Punta Betin
42740,0,Velocidad del viento,3.03,m/s,Punta Betin
42740,1,Velocidad del viento,2.8,m/s,Punta Betin
42740,2,Velocidad del viento,3.02,m/s,Punta Betin
42740,3,Velocidad del viento,2.13,m/s,Punta Betin
42740,4,Velocidad del viento,1.85,m/s,Punta Betin
42740,5,Velocidad del viento,2.02,m/s,Punta Betin
42740,6,Velocidad del viento,2.75,m/s,Punta Betin
42740,7,Velocidad del viento,1.35,m/s,Punta Betin
42740,8,Velocidad del viento,1.3,m/s,Punta Betin
42740,9,Velocidad del viento,1.6,m/s,Punta Betin
42740,10,Velocidad del viento,3.45,m/s,Punta Betin
42740,11,Velocidad del viento,3.08,m/s,Punta Betin
42740,12,Velocidad del viento,5.85,m/s,Punta Betin
42740,13,Velocidad del viento,7.57,m/s,Punta Betin
42740,14,Velocidad del viento,6.5,m/s,Punta Betin
42740,15,Velocidad del viento,6.63,m/s,Punta Betin
42740,16,Velocidad del viento,6.97,m/s,Punta Betin
42740,17,Velocidad del viento,6.4,m/s,Punta Betin
42740,18,Velocidad del viento,4.57,m/s,Punta Betin
42740,19,Velocidad del viento,4.23,m/s,Punta Betin
42740,20,Velocidad del viento,4.47,m/s,Punta Betin
42740,21,Velocidad del viento,5.5,m/s,Punta Betin
42740,22,Velocidad del viento,4.67,m/s,Punta Betin
42740,23,Velocidad del viento,1.6,m/s,Punta Betin
42741,0,Velocidad del viento,1.1,m/s,Punta Betin
42741,1,Velocidad del viento,2.28,m/s,Punta Betin
42741,2,Velocidad del viento,2.37,m/s,Punta Betin
42741,3,Velocidad del viento,2.58,m/s,Punta Betin
42741,4,Velocidad del viento,2.1,m/s,Punta Betin
42741,5,Velocidad del viento,2.45,m/s,Punta Betin
42741,6,Velocidad del viento,2.82,m/s,Punta Betin
42741,7,Velocidad del viento,3.75,m/s,Punta Betin
42741,8,Velocidad del viento,2.65,m/s,Punta Betin
42741,9,Velocidad del viento,2.53,m/s,Punta Betin
42741,10,Velocidad del viento,4,m/s,Punta Betin
42741,11,Velocidad del viento,3.22,m/s,Punta Betin
42741,12,Velocidad del viento,3.48,m/s,Punta Betin
